,index,male,female,non-binary,timestamp
491,menstruation,0,0,0,2022-03-15T01:24:28
492,9829001.0,0,0,0,2022-03-15T01:24:28
493,10743008.0,0,0,0,2022-03-15T01:24:28
494,11381005.0,0,0,0,2022-03-15T01:24:28
495,11654001.0,0,0,0,2022-03-15T01:24:28
496,13746004.0,0,0,0,2022-03-15T01:24:28
497,34486009.0,0,0,0,2022-03-15T01:24:28
498,40930008.0,0,0,0,2022-03-15T01:24:28
499,14669001.0,0,0,0,2022-03-15T01:24:28
500,15188001.0,0,0,0,2022-03-15T01:24:28
501,18193002.0,0,0,0,2022-03-15T01:24:28
502,18718003.0,0,0,0,2022-03-15T01:24:28
503,21134002.0,4,1,0,2022-03-15T01:24:28
504,396275006.0,0,0,0,2022-03-15T01:24:28
505,22298006.0,0,0,0,2022-03-15T01:24:28
506,23502006.0,0,0,0,2022-03-15T01:24:28
507,23919004.0,0,0,0,2022-03-15T01:24:28
508,24693007.0,0,0,0,2022-03-15T01:24:28
